,PRODUCT_TYPE,ORDER_ID,SITE,MATERIAL_NAME,MATERIAL_NUMBER,MATERIAL_QUALITY_NORM,DEFECT_NOTES,NOMINAL_THICKNESS_MM_SCALED,WIDTH_MM_SCALED,MASS_MIN_KG_SCALED,INCO_TERM,MIN/MAX_BID_EUR_PER_TON,VALID_UNTIL
17,COIL_STRIP,436739,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A ZUB,0.801,1474,2810,FCA,570.0,2025-02-20 11:00
18,,436738,1 company gmbh,DC06,1.0873,DIN EN 10130,DC06  / D2A ZUN,0.801,1474,2400,FCA,570.0,2025-02-20 11:00
19,SHEET,436618,1 company gmbh,S460MC,1.0982,DIN EN 10149,DEKL-S460MC  / D2A ROS,3.045,1020,1081,,610.0,2025-02-20 11:00
20,,436619,1 company gmbh,S355MC,1.0976,DIN EN 10149,DEKL-S355MC  / D2A REI,4.043,1252,991,FKA,610.0,2025-02-20 11:00
21,SHEET,436620,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A ZSM,6.006,994,951,FCA,610.0,2025-02-20 11:00
22,SHEET,436621,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A KRA,6.018,1301,1131,,610.0,2025-02-20 11:00
23,SHEET,436622,1 company gmbh,S235JR,1.0038,DIN EN 10025,DEKL-S235JR  / D2A KRA,6.022,1253,2089,FCA,610.0,2025-02-20 11:00
24,SHEET,436623,1 company gmbh,S235JR,1.0038,DN EN 10025,DEKL-S235JR  / D2A REI,8.02,1502,2853,FCA,610.0,2025-02-20 11:00
25,SHET,436624,1 company gmbh,S23SJR,1.0038,DIN EN 10025,,10.006,1502,2831,FCA,610.0,2025-02-20 11:00
26,SHEET,436625,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,12.008,1508,3551,FCA,610.0,2025-02-20 11:00
27,SHET,436626,1 company gmbh,,1.0045,DIN EN 10025,,12.008,1507,3541,FCA,610.0,2025-02-20 11:00
28,SHET,436627,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S35SJR  / D2A KRA,12.008,1508,3551,,610.0,2025-02-20 11:00
29,SHET,436628,1 company gmbh,S355JR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,12.029,1503,2141,,610.0,2025-02-20 11:00
30,SHEET,436629,1 company gmbh,S35SJR,1.0045,DIN EN 10025,DEKL-S355JR  / D2A KRA,12.029,1503,2131,FCA,610.0,2025-02-20 11:00
